#{"t_start": 1756517235.4149468, "env_id": "None"}
r,l,t
0.0,4,9.851669
1.3,2,9.851669
1.1,11,9.86043
0.2,3,9.87143
9.2,25,9.897683
0.5,2,9.897683
4.0,16,9.915147
-1.0,1,9.915147
2.4,14,9.93154
4.6,11,9.943489
1.3,2,9.943489
1.3,2,9.949044
14.1,24,9.965254
-0.8,8,9.977161
-1.0,11,9.981705
0.5,2,9.981705
0.1,2,9.990552
4.4,16,9.990552
-1.1,10,10.013562
-1.0,1,10.013562
0.4,4,10.013562
1.6,6,10.024865
0.5,2,10.026284
1.7,6,10.032633
1.3,2,10.032633
-0.6,3,10.032633
1.6,8,10.044059
1.3,2,10.046072
0.5,6,10.048512
-1.0,1,10.048512
1.3,2,10.048512
-0.2,7,10.059756
-0.8,4,10.06179
0.5,2,10.06179
0.4,12,10.074026
3.2,16,10.088297
-1.0,1,10.088297
5.4,19,10.108852
0.1,2,10.108852
2.4,10,10.122853
-1.1,10,10.132946
1.0,5,10.132946
-1.0,1,10.132946
0.9,6,10.148233
7.8,21,10.166781
0.5,2,10.168794
0.4,6,10.175992
2.3,11,10.186424
2.4,12,10.19484
-0.6,7,10.202142
-1.0,1,10.204152
4.6,11,10.215239
0.2,7,10.215239
0.4,4,10.223753
0.1,2,10.226288
-0.7,4,10.230675
0.1,8,10.232973
-0.1,5,10.243055
-2.0,4,10.248091
1.6,8,10.248091
10.5,24,10.275986
3.7,14,10.289234
0.6,11,10.297875
4.8,16,10.313833
0.1,2,10.315843
1.3,2,10.315843
1.3,2,10.321039
-1.0,1,10.321039
0.2,7,10.321039
1.1,13,10.342313
3.4,9,10.353318
0.5,2,10.353318
3.4,11,10.368363
1.3,2,10.376894
5.4,15,10.391155
0.2,3,10.391155
2.6,11,10.406001
6.5,22,10.423667
16.2,45,10.465425
2.0,12,10.47693
5.4,15,10.481566
-1.0,5,10.490897
5.4,13,10.507893
-1.0,1,10.509755
-1.0,1,10.509755
2.9,16,10.52362
1.3,2,10.52362
4.8,20,10.548346
0.2,5,10.548346
0.6,7,10.55769
0.0,6,10.564402
-0.6,3,10.564402
1.0,3,10.564402
2.0,12,10.580277
-1.0,1,10.580277
0.6,7,12.946387
13.8,27,12.974411
2.3,11,12.982206
3.0,13,12.998482
11.2,22,13.015316
5.4,17,13.031865
8.7,27,13.058893
-0.5,3,13.062869
7.8,21,13.092101
22.2,39,13.133333
-0.6,3,13.137358
16.1,44,13.179129
0.5,2,13.182518
3.8,15,13.195912
2.6,9,13.199657
0.1,2,13.199657
0.5,2,13.199657
-0.5,3,13.208713
3.0,9,13.220868
-1.0,1,13.224408
0.4,4,13.224408
0.5,2,13.224408
6.0,12,13.232054
3.3,14,13.257776
1.2,8,13.265348
8.1,24,13.289929
1.3,2,13.289929
12.6,27,13.315221
5.4,23,13.34045
3.2,6,13.34045
6.6,13,13.35761
9.2,16,13.365273
1.3,2,13.374478
-0.6,3,13.374478
-0.6,5,13.38183
1.0,3,13.384553
0.5,2,13.386567
1.3,2,13.386567
1.4,5,13.393897
-1.0,1,13.393897
7.8,30,13.424155
3.4,9,13.431848
-1.0,1,13.431848
7.4,21,13.452626
14.9,42,13.49106
4.8,14,13.510063
11.5,29,13.541375
3.4,11,13.552051
0.5,2,13.554064
3.2,6,13.558924
2.9,10,13.568672
2.4,10,13.574387
6.0,18,13.602161
5.6,14,13.623569
6.4,16,13.637891
-1.0,1,13.641156
2.8,18,13.65766
5.4,15,13.6674
0.2,3,13.674695
22.3,53,13.730638
0.5,2,13.731916
17.8,47,13.773709
0.2,3,13.773709
6.0,12,13.789953
-0.6,3,13.793041
7.5,21,13.806889
0.2,7,13.81572
11.9,25,13.840444
0.8,10,13.849013
0.5,2,13.851027
-1.8,5,13.853037
1.3,2,13.857378
18.3,45,13.89861
1.0,9,13.907216
0.5,2,13.907216
10.8,26,13.931875
8.2,17,13.94852
0.5,2,13.94852
13.1,35,13.98246
3.0,13,13.998611
12.7,25,14.024413
4.2,15,14.040964
